file,question,answer,similarity
IMG-20260314-WA0049.jpg,1,a7 Valuc Edu cHiov ~fay t6 tha educa to Valu < $ (which b+r 7ctmon 46 Hota n Iir< ) Fo~ Fha Qerh'cipss Ior Unit Fo v loxJr~ ord ~ and inshlib throxih Life Km 6 Thc S-lf o lo Kox nn 'Fecl'33 ~ Hou) Can onsui align 11 Inem 4<I,0.2206
IMG-20260314-WA0049.jpg,2,C Au | Yaa FT tLc Jrahr 004,0.0618
IMG-20260314-WA0049.jpg,3,Prt condi lioni-a Ncans kninkicjy Assum;nj 4 actirj {0 a3 3itoation 0i Ihoot Jivira _ i+ thovjtt 0 V acle u~i Tirj + 6;ll tnat Wetha~ i F Ika 4 nof Jlm 4 thvovjr batu~a |  naxzex] Oy I+ 0 cePianu 6os Ha inFlutncd Fori'J 6u Fxicw Js 3oc;ck 9- Kids Usher md e nkx c6 tna 3tuxt "*3' abusi Fovoby 3540 @h;cl n6t 1 5 + 0 b ot 0c do +J trnk,-0.0004
IMG-20260316-WA0044.jpg,1,4Joe30 L2 KBIS 89 LIE Student vi. results.com 0 3 CdoceAr^ Vc 94 4c C 846 kc;,0.1021
IMG-20260316-WA0044.jpg,2,C (earaf Sc ytsaa 44 Poce € $ oboo ! Ualue Kor '^ lil horo^ 40 3i~e 0 € < P<c / 7 44i^ 6J Jake Co ` € 6 ) Cee(rns ~ ( Sel f( Yejslc4/n TX (ee(i^9 Orc abosl 69 se(0 Se ( 8 +6;^finj 3 A 4s 0 Aype 04 c) P~e-cona/f sning ~beu4 'l4 bhexe je #Tak {~agina #on 4o ke elace Atue Cons;4 fo^ dhe eol (boot U 6ou ` 86-26 8) need 94 i: ^0 f pyessoxe 0" 4ox ehysice ( Gon€ no 43t ( ecc€ p Fonre by se( $ acec 9 4 9' fufile & E*2as € Corce & u;,0.0021
IMG-20260316-WA0044.jpg,3,"U @ is 00 1 8ee 6y 0 3 F*eheal44 A~ptovrae^A 6 €TC !f € 36 6- Do:  Ms+fIed b-1 Psope ` Tl € ^e ed e8 sel f 2( 2 x €ise 24C , {ropr~ (oo & Ce s (ee € ~yale 0s( ( ; (2 8 LJ uon?_^ need 0 $ be8 J Xs 3 The Cov 2 Aou $ e 2 f €",0.0042
IMG-20260316-WA0078.jpg,1,5 Aw: (w) Vale Jtd; ducdhoxi eloL Ja Uslucxtun ~dtax [ ~Abywa & vale ond imgral Uo leserdl {um ~s de 4x} Jite - Jals ~selbrgubban  UcftL io Scabstva lon ' Jel} cond ychmnstg acluria Jo cllo,0.0366
IMG-20260316-WA0078.jpg,2,LAlOU8YL Lmd Yeup UU](MQbtel [ ufu - Getonistanne Juleu Jo knasur &   Uovdlbwva t cabat Jondhun$ sxhore Amd _ ~l) Alo ExetciAe dhc unnbve uxob AvbnLive uugchk ubria 8o ~dono sott Rtwus wwve /-onoy,0.0414
IMG-20260316-WA0078.jpg,3,"""Uomifer Ualwa 9622'18 Y4m 4) Nd wh Je sel cfe Yulqzlos)c# Jtaubzton um luteL tond Ju Jeht endeal u s'8.l04 Wd #ylnl   kilt",-0.0423
IMG-20260316-WA0081.jpg,1,0 eduatow bshica Jebswith +u TT4 2 pert % hinaa values "paxtiupation undexttandvd 2 a eusuu At < Qatd" u ordu i__kon called Value pd u te Kespenibil; 4 3 0l 2 uation 5 t6la4 1 bedx tod 6 uhu 3atior 8 e,0.2006
IMG-20260316-WA0081.jpg,2,"^esours Tau LlLu ulotior uth JJu Ieird, ad #ae Ana; nwitta"" Leuie bli our Reall LE ZI t4 LL matural basmord 4044 wluu out Pxirtian ~iaxtioid ""54 zrenalli  ^ idsje ap du * thouyhb 0",0.0681
IMG-20260316-WA0081.jpg,3,"ved ot6els Loe Pues d bd,oth 0uj ntural aattateQ 4t aer tL 0r 'diale{ T LL oukerioa oteus Lol Mede f 6e 3 Lar wit extlores 4 invuh 04 4 tbd A Lappiu=",-0.0168
IMG_20260316_224022.jpg,1,3 Ansiuca f' Mt | 4 49 Valua vc(ou) $0 4ha (oii tarn of 4 Onw in iQ I laic oidca banta?_ 1oiqiy Noy raimiamg hamony and ecluretioo U scally gain} knouledgc. So oa luc oduavion 0 hoiniag) 01 +o Cicae @ nca( efuiand irlomahr toclery La Onc '( Toic nioreu In of Undrribdj largcv ana luing aroldingly II 1 rain Oim lo dculoo Jkp) Urci Oordios (n Indiurdual abou) }hoi iclug incig I luhon(hir h The Ietn (edunq 0f Colf scaulanon (adn ue,0.0956
IMG_20260316_224022.jpg,2,"10 Ih Juto Wo feelirgof  teironib ty (a Ine seifi cgulalan Jeiftowni d Ik @ucc, Uc body foi 11j JU{ubJn9 and nroiechon '1' Orecon 411(orng 1( boliving iome Abow Ihing Il Withoul balv/ / truc quelhaig 01 nol 0 bailaiy Ramtly , WC Joi Know) #rom so(cr) / jrod/ivr4 0 < Fyeicie V | K 6 0 ) "" IJ Myiral arluily donalg hodl h 90q maily f1 na(i +o maintala / P { Iuch @4 goga dcanormodyc 1) henihb and 4 Pyiit noxly but Touhy (abou' U 0 On Jr nbyoto) Olmi hond woy do1v I0 nrudute Cenne Olctoil aodi G 'cr1ea",0.1388
IMG_20260316_224022.jpg,3,Tu(ii W (0 mc9 o( 1U (W con Iiru clor souchy (abxui bcaifil both by tonmt hulliag ta Otodbl"o boduang "1: ` Th noed 0 f (ei f ond hody a10 Tk Je| r nocd( (onhimiou Fcundainentolly dfforcv hopnyncu Ilke whith inciudt Iouc)truu teicc ! and noain_The Colings hacelr O1C Cnq iOaic| (Onino "1 ouci hm. qudnhlohur Dody ncd) Iwe nnyiiany (0 Food /clom) WaC) ) Thallo. (aulhe Thyy Qic fuifilcd malceiau Oble ( / hy F 0 ( 9,0.0607
IMG_20260316_224108.jpg,1,3 Pamiielo | Jho 9ui} (un 0) Valuo Edutaten H Vue - tcravi OuQ (duloiono-) gnt) Fnsaledy @ hov h Ibo uih Jcdd Valusi _ Wue EAurahon 3 leanni) T 8os4 (ahen} sHExer Fec(iry 0 Je ( te meteta Aal L 9& thru L dunm and uner tarding O Fn Alcr 0 _  ara,-0.0133
IMG_20260316_224108.jpg,2,OnpiovCmcnt I I0 0' Ck Il . (( ne Fc Y) 40 tsamet 0l Or by cel - onp (eraho n. 2 (ciitorf i+ ( ~hc Ihmtm9 whh T(Todo ftom Pre Qi{umPtns and Qxprninl? +y oua IeCone wilh Somg Famfiy. Dcithlor Fort ellcn $ 4d praviou( Gmanahor 1 ea perrente_ 1 9 01 af1 oun (oqteni 4Km 1 09 ~) La can+ Yate decdion) by ou^ 0 W _ €ierc([Q Latoun,0.0264
IMG_20260316_224108.jpg,3,"t i<delmod &r Som c Anyo & can 00 Q1TC""Q 4 Ropip for {om neciri  / on M bax 6} 46ci hca/A _ Woak Ypca'ni-orn$0t u 0 (0 } 6( Fuste 64 46) 0n(4 duniuw ) ey Jhh 4nclr naed 9cps H+ benc 6+ gcp FX y Worlmg fr mdults Czy Yeo (enuyan < M . fanmmhx Lt ( 5+9 Bo4h 91v, iariony t (< Jn ruprcs Uc MJ _",0.0512
IMG_20260316_224200.jpg,1,3 W 77 JILU (Uic " Valila Grluruhn helfn MR kan tt 2 T Whi Ie Tn Um Cnnpplnm nanc 4 am ) tuly Ienptant dbJubru 6A 04 "4 aw W Haw to hke VL+" jm! Hac Io le C kuensl _ Lez( 0 | mannurylL Cc,0.0604
IMG_20260316_224200.jpg,2,(~W L Hxt Lutcm Tx nur Jwt Olbor Jlu cLuaha - lai' ~ 2'' moruy but aho omn 144 4 Judme Vrelus Collmuhan Tat I4 ~ 1 pnicu M 9Wd C Wuaua Tu= ~ry kmewlanlye,0.057
IMG_20260316_224200.jpg,3,"J1 Vali Munrc Jer5 44 7""4 Lalt AD) LL_rery~ 3T 241 ~cuAl,u Mu 41-17 meughr oleal1e 2 J 2R Imu Tu mamn3 ] 9 nen to hu 344 culen Ufa ""Y trhels C (u j37 Culf ~wugulahien uie Ce ""0ngy",-0.0789
IMG_20260316_224230.jpg,1,"3 @ho+ Awswu Tgf Qunha 81) Ca) Va l& Edu cahv& 2o 1 tsm 3 tca t4al hcp, U , (eaun sz; An twly (yerfa} UA ~848 7How + aslue W}"" V oals v*ex7 besm9 tntnAA + ~aied @ 6 soans bo (O Atu bcPpi~yv Eulmw cd 73 Ju dc &dbo cact'dm Uitu tu leyb 4 vollla elueolv",0.0539
IMG_20260316_224230.jpg,2,"h dux ca1pleg ad daetiun 4u 1o Y3C CiL hr_ A 0 strn 4 Lun 4 vallllo aJ teu Fuslimg _ %-%c4 huqeylaho 6) Tl (' , @ ' (sangox) 0 cAL ee4- dcuelmo 3 J o C< coutrpl OLH +023 4b_ DUJI OuA me155 4 UMoula an cuoho_ fay _ + An +3 6X AA 0 sG_ ula hn + @ L uld ~o( (~ OUS 84 6c A_EG~ W< coxtol a 0 luayA bp oa4 0ut 0 U Umk",0.0074
IMG_20260316_224230.jpg,3,fdula 1 c Prucmuolit'm9 rm Cal? beu'eua teuLh @ch'0 ulc 1o ~Fusuy 0l1/+@ ad exkuuia l 7 dh_ 0 @l 17y Aow witm 0 444e4 a ddu ~0 ( cMAL ia ~ol Va4ded Fo hrmd 548 XL exploraks Pueconcuitr"&umd {id alu QD Asdou A tW wcz,-0.0396
IMG_20260316_224304.jpg,1,"3 Q1) @ Tevelus s __unit_R__ilea_Qpoo The Pav| of educti] 4+t deals +3;+ tbe orderstacdicq 26 Ons Panticietion io 4be Raxaek Gwde- and en Suoind 4 {n Qiviod :n Js2k01~ T6 2 tesm fee Iira eb sell Qequlat; 09 meand Ono i3 7003 Ponsible Foo 4s {aoli72 |+e rody KIheteC3 n rans bodd Pa7o+ 3 6o67kina ;c hazmody ' . 7r: 1:~'c: ,'",0.0877
IMG_20260316_224304.jpg,2,Ooecondit; ooicd Pson Corlad/ Societd ed ; @ 57 Expectation' Seharaes Udittb? 4ioe ; ( ` ~ .1 Cordvad; ctio o 35 Can Cause ~:.v) "> : Exeociso Labey? W9e_ do T $ ; s 0 LQh U9@ T"s :S LhQU do @ OmQ ptacfices Sonl prachi cestllovgh Lui+ 6' 9*6 bod:fov Ouy bo +0 Qopfu 7kaaadacuia '+ s beneb N s GA*,0.1089
IMG_20260316_224304.jpg,3,Vdo U ~C| e] C@OU 10 : `1 S elb bo c8 Co nsc-iousness maluu al Nalure Continvous happiness Phx 'cal {acalsly ne ec Time Continvdus Tempoialy JanTiF3 Valikal;v & Ovanli tativ &,0.0337
IMG_20260316_224438.jpg,1,1| 2 } h 2 L 1 2 V V 1J 16 V 6 x % 7 1 [ 7 J 6 " k L % 1 f) 6 8 J H 6 % { 0 6',0.0307
IMG_20260316_224438.jpg,2,0 0 } } L " 9 k k [ k; 6 U % Jy k 1 ) 1 k; N; x 0 5" W ) k 2 {  5 1 5 { Y Ly ` 6  M' V 1,0.0302
IMG_20260316_224438.jpg,3,1 1 < 1 % J0 2 P 7 6 1 L 1 & 1 6 4 6 J ! 7 J Y ]  71 v 4 ~ J i L,0.07
IMG_20260316_224513.jpg,1,"3 E_ Luor Js te poq e ~cucobe< Value cleaR UuH_ 4n aa8ea Ran 0 < tsak  ) ~ 1' ' '', inculcotig un tu sciety ` TF hakp> y anc Unol LonJ Jauic F6 Lucq Ust_ schosu DLAL ) suman L) Fzcl"" n2 ~ exalb - IraBules ro J CLN",0.0941
IMG_20260316_224513.jpg,2,Jal ~eicu boo LDJA JXe {een3 ' F+Zz Tlos selb Look . E4 IZe_ _UI ~lo Jfd Ulyot ' . ( _oablea nozt +o ~Bbodk ~U-pk Js L( Fox Uhn OU boaka Ks LQX Jalk 0 Un buB si{iois 6o aule sooc L ;4 U7 _xarpL % Us Eon LAt iv~o 2QOk; L,0.0726
IMG_20260316_224513.jpg,3,JlaT 3O 1~> ^y~CU LXJ C LUJb) 2) eaucancltienin@ Js FUss(ntles8 ^1-o Jhuch jes ~oo ~eciaty | {ai(9 ~kJ pual Jeyn ~AAUmyptidn &uienJs balic& 040 JAOl Socicy +olys to pu~k + Fo 37 ~ hoeio +eJ & ~& 2 novw3 Jz_~a ` UOdlz ~Cens t Usckl 15 |tuBUax,-0.0016
IMG_20260316_224552.jpg,1,88 Br2 5 C W 1 46 6 E h 0 Ztl 2 0 L 15 8 q 0 It 7" 0 2 +,0.0645
IMG_20260316_224552.jpg,2,"U Jcl Pp V 9 Fa 42 8 Vr k p 7 ie 1 1 c 6 C {c 0 1 8 IA Wer} 8,3",0.0673
IMG_20260316_224552.jpg,3,F 0 3 6 J 9l 0 7 L 0 8 1 N 1 Jd 4 6 0 | 07 8 FF,-0.0333
IMG_20260316_224715.jpg,1,2 0 Q8 E 8 ? € L 1 @ € f 2 0 1,0.0585
IMG_20260316_224715.jpg,2,{a 3 0 4 2 ? L 4 3 + 1 5,0.0243
IMG_20260316_224715.jpg,3,E 8 1 8 } 1 + 3 f )? J t& 4,-0.0022
IMG_20260316_224812.jpg,1,8 ? P 8 8 0 3 8 S FS } 9 [ 62 & 6 J 'F,0.0115
IMG_20260316_224812.jpg,2,8 QO 7; 0 3 1 J J 8 { 5 & ; 9 4 c$ 3,-0.0042
IMG_20260316_224812.jpg,3,; 67 2 } 7 2 1 4 5 OQ 1 J } 8 1,0.0144
IMG_20260316_224847.jpg,1,2 1 0' Thc tcnm Velne E dwcctiom dehnes Ehct Fo harz CL moncy VeAee eewkction Cn 4 0  I7 b oo Lxiz h < tudd 1s nox enoyh ton On< 5. Fo DC C &oo2 P@ Son to Ena 0 nc mLs} bc nan  0 Aa V ox < oF L~ hct um d 0 $ hwn Sod Jir 0^ WJhct Wv | 1b w~nY ce 4 Pc) M1 eeh cclor_,0.0229
IMG_20260316_224847.jpg,2,1 () Se44 aey hlalon M Ccn S On Sel having conjo| Conac| 0 n thein Onh Ct Woh Lv ho trdn be Jc nsal on comn-ind coneles )on. 1k) Paceond;hion 1s O 2clse UJh en < ELe Pmson #ha C3b Judq < on belie we +0 cichId bobe_ bd _ CL,0.0837
IMG_20260316_224847.jpg,3,amm J mUW Cbnclu) on oc+n veaiyhnd sF Hact 0m 1 Lc Lyonds_ eb2 '1 WJho & Ehc PensOn an ayz2 Ek S tute ment am d hng,-0.0104
IMG_20260316_225007.jpg,1,2 2 8 V 6 12 1 7 6 1 &< 7 1 3 3 0 8 8,0.1609
IMG_20260316_225007.jpg,2,J }  ' 7 k 6 1 6 3  3 '   0 1 1 # ^  6 4: 1,0.0571
IMG_20260316_225007.jpg,3,;:  ; 1 ] J 4 L 7a ` 0,0.0238
IMG_20260316_225201.jpg,1,12 Qu.}HAn _ ' 0) Valu E dudakiamm 3  kal e eduosem Huk +escu 4hu pusceipoten 88  Q wi+ Ao Sx00 0 _ 9 00,0.1169
IMG_20260316_225201.jpg,2,&` ` WT OLU Ond 14g gi9iji cance 4 doa duy xje Colkecyrls Ex ary} le Hamnans haS_ecsboke toax {hsx 48 F9s Y 3cC. Od Unke ;ka U9ik6 mulusk Hobbiness ad mukccul 40 achi Q1e beskes E #us 981,0.068
IMG_20260316_225201.jpg,3,b) seyL Regukak 8  (Sony/s I 1 2 H duds + 9 'I +089o9dX bsdd We 09 Srsbori b/€ FoS bsybes- neuS and KQa2 baushe ~Sak& Cosce 9uS bed eJ 19 : EX ehcbsyy L+ake food e a&loikacs,-0.0712
IMG_20260316_225433.jpg,1,0 Y 3 487 Fe 5 & 12 1 1 4 3 9 F Ef + { E 2 { 1 J { 1 2,0.0268
IMG_20260316_225433.jpg,2,8 a 4 6 5 Jad S 3 1 J 1 5 8} 34 1 E 1 ; QSe Q 1 }% 1 1 S 1 V 6 4,0.0125
IMG_20260316_225433.jpg,3,+ QaF 5 [ 2 J 3 { 4 { 5 [ 1 J 9 ? 1 1 1 5 4 { #F f 2 } I J,-0.025
IMG_20260316_225514.jpg,1,S) 1 2 [ 3 2 } { 2 8 4 E HF 8 J# 1 X 3 04 F 4 2 2 2,-0.0221
IMG_20260316_225514.jpg,2,D < 4 { { F 6. E 1 ~ t 1 1 $' @ 4 )1 } 1 3 8 4 { 10 6 3 k 3 8_7,0.0021
IMG_20260316_225514.jpg,3,O 3 8 S7 qP 4) 6 1 LJ 3 [ # & } L ~ 4 4 f } } 1  8 S',-0.007
IMG_20260316_225557.jpg,1,"3 educ ation 'p (Sons Kax ) which '3 L(o volue t0 nau hazrond ona ae' happine LISe Uve ""8 ` 4^ : } {: at focl 7{13, 1 1""'i1 3 R $ cka-taLJ connected A > '7 / 3 . `' indvidual Vevel  , _- D?) { 1 A1 +he ~o' Uvel :1 +e hokn:ji` ^{ fomiy Uit [o S 0 @ety Luel pfnfi ' : A0~ ~)v `",0.0768
IMG_20260316_225557.jpg,2,A { ~a_ Jevel ef natuse . A 0) 0f-) T0 ? )7 exampl 1 6 9 bave U9 o~Ked Rn & heJ lol S o& sKil st xo ncvind 7 Com Pa ny these i s a &'shaumony: {n-enal crtlict homc 1 jus t scold sa+uynina ~0 And at+24 Jeoa to bestween Son wiU &ap n8 A nd 0 dshonesty bo-th +1 Jenchaton u9 03 |< Jad 3 cheaticd Io goje+4 my Nou 9 wiLy,-0.0102
IMG_20260316_225557.jpg,3,"CCD at Sou~d ~ dishamond Lt exp?lof + which U & @ exces ~esoulik {!"": }. natuu ';3 Rojn[o ? H 622 +nat abole_ example Use Hec faom edu &ation to USe have need va LLLQ_ and m aintain Aa Ve 44 & al und Stondi3} 4 conHaious hakbin exs nd proskesuitd 3320Lv2 (e ve| ""_8 / < ? [ n . 5 'i0 ') . 4 ' € 1' :An GAotn _~il Tio - {'F€ 3) ? : > X ""1; . ( `c 1 2^.'Y1Y C 6wX 3J 0 ) ' ^ 1h ] 1 v:,in0",0.0498
IMG_20260316_225648.jpg,1,4 FecLinJ ek :44 9t3 Ul atron mcani 4o oWn lotk L'+L You wf U 4o WI #h~ main J oa 5 do labouy and 13 hopbin exs and Pro spe-ty 4his Wotk +ull As Lot+ ch @S As you KnoUs ~elatcd J ~at tpic byt yo~ anxiety thm ana u0t6 accojd'hay hawl Jo mana}l,-0.0096
IMG_20260316_225648.jpg,2,Foy cv a mpl do L0j K Ls +6 Jon yo @+J Supboje hodd @ork Co Yo4 0 * P*4+ +hatt Ond L /H And happines Jo? #hat ana Co you U4U malcllG_+t' € but mofiva La Lh'ch CULLL 2 sebect ta+ peauon 1 Preconditionirg 's +~ Arst step e Foceyk Lhel 9megination men Tmagination 2 (Vichas) expectation. Detine (Jena ) Ahovah} ;t 8 don '4 Jesu- * 0 nd o ccept 0 he Ue Ju+,0.111
IMG_20260316_225648.jpg,3,4 NJou 41104 46a- 3US 0 i+ 3t *p - Q Na+uyal acektence Cens ~Hon and 06 mo +v aHor ini+i al + Couycu 3+ s .: ( dzii-e + ~hought fo ~ fmajina+i on + ) expectaton Cx ~ wan- 'Ao buy Caul Supbose Qus you you in <hol S00m and thee gou asce F= 9 o juI@ no onc 4dl quud on) 40 choo € & Clasi why a^J_nal RXpensi LA  Qay Ul + Cho 0f& Yok_ch no ~ekiHicton ML +Au_,0.0532
IMG_20260316_225744.jpg,1,. 2 L () (Ins :_6)Value € cluc ohon 16 the 1 ducalicn fld cachr5 Jn djui duo l fo seed and _bchn ah px epexyy thcd Jhiik uzl hclp thu Jndj ui clual J takvng Sijht dacrjon: (iJ # dleachc $ jllfc$ and ptisple t a,0.1124
IMG_20260316_225744.jpg,2,Lel  e Le ML en ~uiilu cls h cutvor an d J'attonshif vith cthckz_.ood b) nvs :  Culig cf 2 xgrJakion: moWn& thc Ovv shauld soue U Cnthae khc deei cion thak he /ch is On Iakund kcaulalfon JuwJaKhg the i4 kcby,0.1294
IMG_20260316_225744.jpg,3,U) iu I Jmclkuduap balo Cn ~uuy { ef cn Jhe Jrclwdual Tpk wrd valje G0 (n 1 declsion fah Ker pohray| Cam / tahc tlno wsovg haplvcks.,0.017
IMG_20260316_225823.jpg,1,2 QIa) Slu_Esualin  - ubn Iulbl bo  O1 obiu' ja  deolind bt jY7 Thc jrai boh th duatu Jluuttlits Ahk Yodtuheit s plx . Tn - Ortbn to ir-Hlouruut tku Lalux Sotits hatuSt Nw # Iolip salua Zkouvsh Aoalue keslb tauskt Lluatis .,0.1123
IMG_20260316_225823.jpg,2,"Js) Tk tuu  kud  %b Sf Jujuallen 9ely-*> T J 4392298"" & Bul Lscld | zexcivuseea ex VIL Tt Kalx J suduvlark Mokx /oulls {A 1288 JoRller eu Ssuw> , flsaht -ccey> kabsba Aou hol &hl hlyxx bxg ix mubbxvs 1 ix Raunotg tu tkun 1z awz ~unsir& Lalo2 1) Be_(otlitiet  2 3 2",-0.0022
